species,sex,length,age
"Spotted","male","3.3 2.9 3.3 3.1 3.2",23
"Softshell","male","9.6 9.5",22
"Spotted","male","3.0 3.1 2.8 3.0",38
"Spotted","female","5.5 5.3 5.3 5.5",54
"Spotted","female","4.7 4.7 4.8",28
"Softshell","female","9.7 9.7 9.7",22
"Spotted","female","4.6 4.5 4.6 4.7",20
"Spotted","male","3.9 4.1",47
"Softshell","female","10.1 10.1",20
"Softshell","female","9.5 9.5 9.5 9.5 9.5",21
"Softshell","male","9.1 9.1 9.0",22
"Spotted","female","4.0 4.1",13
"Spotted","female","5.3 5.3 5.2 5.0",52
"Spotted","male","3.0 3.1",33
"Spotted","female","5.2 5.2",32
"Spotted","female","3.9 4.1 3.7 3.9",39
"Softshell","female","10.3 10.3 10.2",13
"Spotted","female","5.8 5.9 5.6",109
"Softshell","male","8.8 8.8",10
"Softshell","male","8.9 9.1 9.0",14
"Spotted","male","3.4 3.4",22
"Spotted","female","5.0 5.2",64
"Softshell","female","10.1 10.1 10.3 10.1",21
"Softshell","male","9.2 9.1 8.8",19
"Spotted","female","4.5 4.3 4.6",34
"Spotted","male","2.7 2.8 2.7",21
"Spotted","female","5.3 5.2 5.3",46
"Spotted","male","3.7 3.7",28
"Spotted","male","2.6 2.6",13
"Spotted","female","5.3 5.2 4.9",59
"Spotted","female","5.9 5.9",69
"Softshell","female","10.2 10.2 10.2",8
"Softshell","female","9.7 9.4 9.3",11
"Softshell","female","10.0 10.1 10.3",23
"Softshell","female","10.2 10.5 10.4",21
"Spotted","male","4.2 4.1",26
"Softshell","female","10.7 10.5 10.4 10.6 10.7",12
"Spotted","female","4.3 4.5 4.3 4.5",47
"Spotted","male","2.0 2.3 2.2",11
"Softshell","male","10.5 10.4",28
"Spotted","male","3.5 3.6",31
"Softshell","female","10.4 10.6",21
"Spotted","female","4.3 4.4",21
"Spotted","male","3.0 3.2 3.3",17
"Softshell","female","9.9 10.0 9.9",15
"Softshell","female","10.8 10.9 10.8 10.9 10.7 10.8",24
"Softshell","female","10.2 10.0",15
"Softshell","male","9.5 9.7 9.5",18
"Softshell","male","10.6 10.5 10.5 10.5 10.5",31
"Softshell","male","9.2 9.3",22
"Spotted","male","3.6 3.6",26
"Spotted","female","5.2 5.0",49
"Softshell","male","8.8 9.1 8.8",6
"Softshell","male","9.2 9.5 9.4",21
"Spotted","female","5.5 5.3 5.5",80
"Softshell","female","10.8 11.0 10.9 10.9 10.9",20
"Softshell","female","9.9 9.8",18
"Spotted","male","3.6 3.5",21
"Spotted","male","3.6 3.5 3.6 3.5 3.2",32
"Spotted","female","5.7 5.4 5.7",85
"Spotted","female","4.4 4.3",44
"Softshell","female","10.4 10.6",21
"Spotted","male","3.6 3.6",37
"Spotted","female","5.5 5.4 5.5 5.5",62
"Softshell","male","9.2 9.1 9.5",24
"Spotted","female","3.9 4.0 3.8 4.0",11
"Spotted","female","4.4 4.6 4.4",36
"Softshell","male","8.1 8.0 8.0 8.1",11
"Spotted","female","5.9 5.8 5.7 5.8 5.9",45
"Spotted","female","5.6 5.8 5.6",59
"Spotted","male","3.3 3.0",13
"Spotted","male","3.2 3.0 3.2 3.1 3.3",32
"Spotted","female","5.1 5.2",35
"Softshell","female","10.8 10.9",26
"Spotted","male","3.5 3.5 3.3 3.4",21
"Softshell","male","9.8 9.6 9.7",17
"Spotted","male","4.0 3.9 3.9",32
"Softshell","male","9.2 9.2 9.1",10
"Spotted","male","3.7 3.6",48
"Spotted","female","5.1 5.1 4.9",37
"Spotted","male","3.6 3.6 3.6",31
"Softshell","female","11.4 11.5 11.5",30
"Spotted","male","3.8 3.9 3.7 3.8 3.8 3.7",21
"Softshell","female","10.4 10.4 10.2 10.5",18
"Softshell","female","10.1 10.4 10.3",30
"Softshell","male","8.7 8.7 8.6",14
"Spotted","female","5.0 4.9 5.3 5.1 5.1",37
"Spotted","female","6.6 6.4 6.7",84
"Softshell","female","10.5 10.6",23
"Spotted","female","3.4 3.6 3.6",14
"Spotted","female","5.4 5.2 5.3",59
"Softshell","male","8.9 9.0 8.9 8.7",20
"Softshell","male","9.3 9.0 9.2",7
"Softshell","female","9.9 9.8 9.8",21
"Softshell","male","8.8 9.0 9.1",16
"Softshell","female","10.4 10.3 10.7 10.7 10.4 10.6",25
"Spotted","female","5.0 5.3 4.9 5.1",61
"Spotted","female","4.7 4.8 5.0 5.0",46
"Softshell","female","11.4 11.2 11.4 11.4",25
"Softshell","male","9.3 9.3 9.3",28
"Softshell","male","9.3 9.0",27
"Softshell","female","10.3 10.3 10.5",14
"Spotted","male","3.1 3.4 3.1",18
"Spotted","male","4.1 4.3 4.2",38
"Spotted","female","5.2 5.2",43
"Softshell","male","9.3 9.7 9.6 9.8 9.3 9.6",12
"Softshell","female","9.2 9.3",8
"Spotted","female","4.6 4.5",44
"Spotted","male","3.5 3.5 3.4 3.4",22
"Spotted","female","4.4 4.3",31
"Softshell","female","9.7 9.6 9.7 9.7",9
"Spotted","female","5.0 4.9 4.8 4.8 4.7 4.9",68
"Spotted","female","4.8 4.7",51
"Spotted","female","5.2 5.3 5.2",58
"Spotted","female","5.4 5.5 5.6 5.5",94
"Softshell","male","9.3 9.2",24
"Softshell","female","10.1 10.2",17
"Softshell","male","10.0 9.8 10.0 9.9",31
"Spotted","female","5.8 6.0 5.8",78
"Softshell","female","10.3 10.2 10.3 10.4",21
"Spotted","male","3.8 4.0 3.6",38
"Spotted","female","5.9 6.0",91
"Spotted","male","3.8 3.8",41
"Softshell","female","10.5 10.6 10.7",27
"Spotted","male","3.2 2.8",31
"Spotted","female","5.9 5.9 6.1 5.9",61
"Spotted","female","4.1 4.3 4.1 4.3 4.2",45
"Spotted","male","3.0 3.0",26
"Softshell","male","8.6 8.7 8.7",16
"Spotted","female","5.1 5.1 5.1",76
"Spotted","female","5.6 5.2 5.2 5.4",54
"Spotted","female","4.5 4.5 4.6",34
"Softshell","female","10.1 9.8",13
"Softshell","male","10.2 10.2",36
"Spotted","female","5.4 5.3",68
"Spotted","female","4.0 3.9",19
"Spotted","female","5.7 5.3 5.5 5.3",41
"Spotted","male","3.3 3.3 3.4",37
"Softshell","male","8.9 9.0 8.8 8.9 8.9",15
"Softshell","female","10.0 10.1 10.0",11
"Spotted","male","3.1 3.1 3.4",21
"Softshell","male","10.2 10.2 9.8",16
"Spotted","female","4.6 4.6",47
"Softshell","female","11.1 11.1 11.3",35
"Softshell","female","10.4 10.2",18
"Softshell","female","10.8 10.9 10.5 10.6",25
"Softshell","female","9.8 9.8 9.8 10.0",4
"Spotted","male","3.9 3.7 3.9",32
"Softshell","female","10.0 9.9",14
"Spotted","female","4.5 4.7 4.7 4.6",59
"Softshell","female","10.0 9.9 10.0",16
"Softshell","female","9.9 9.8 10.2 10.0",19
"Softshell","female","10.6 10.7 10.6",24
"Spotted","male","3.2 3.2 3.3 3.4 3.1",24
"Softshell","female","11.2 11.1 11.1",22
"Softshell","female","9.7 9.6 9.2",21
"Spotted","female","5.1 5.0",70
"Spotted","female","5.1 5.1 5.1",55
"Softshell","female","10.2 10.1 10.0",27
"Spotted","female","5.1 5.2",60
"Spotted","female","4.2 4.4",60
"Spotted","male","4.0 3.6 3.9 4.1",45
"Softshell","female","10.3 10.1 10.1",20
"Spotted","female","4.6 4.8",77
"Spotted","male","3.2 3.2",13
"Spotted","female","5.1 5.2 5.3",66
"Softshell","male","9.2 8.9 9.3 9.1 9.2",12
"Spotted","female","5.4 5.2 5.4",43
"Softshell","female","11.4 11.6 11.6",30
"Spotted","male","3.7 3.7",26
"Spotted","female","4.4 4.3 4.5",42
"Spotted","female","4.8 5.2 5.1 5.2",53
"Spotted","female","5.1 5.0 5.1",76
"Spotted","male","3.0 3.1 2.9 3.0",31
"Softshell","female","11.5 11.0",36
"Spotted","female","5.3 5.1",63
"Spotted","male","3.0 3.2 3.0",26
"Spotted","female","4.8 5.2 5.0",32
"Spotted","male","1.6 1.7 1.6 1.9",12
"Spotted","male","3.7 3.7 3.6",39
"Softshell","male","8.7 8.6 8.6 8.6",11
"Spotted","male","3.7 3.6 3.4 3.2",46
"Softshell","male","9.3 9.3 9.5",23
"Spotted","female","4.4 4.1 4.4 4.1",61
"Softshell","male","9.0 9.1",17
"Spotted","female","4.8 4.9 4.7 4.6",50
"Softshell","female","9.9 9.8 9.7 10.0",14
"Spotted","female","4.7 4.6 4.7 4.7",44
"Softshell","male","9.5 9.5",14
"Spotted","female","5.1 5.1 5.2",54
"Spotted","female","4.8 4.9 4.9",52
"Spotted","female","4.9 4.9 4.8 4.8 5.1 4.7",55
"Softshell","female","10.6 10.7 10.7",23
"Spotted","female","5.0 4.9 5.0 4.9",52
"Spotted","male","3.9 4.1 3.7 3.8",36
"Spotted","female","5.3 5.4 5.2",67
"Softshell","male","8.6 8.7 8.5 8.7 8.7",14
"Softshell","male","8.8 8.8 8.7",18
"Softshell","male","9.0 9.0 9.1",23
"Spotted","female","4.6 4.5",54
"Spotted","female","4.8 4.6 4.7",38
"Spotted","male","4.3 4.4 4.0",33
"Spotted","female","4.8 4.7",44
"Softshell","female","9.7 10.0 9.8",15
"Spotted","female","4.9 4.8",42
"Spotted","female","4.6 4.7 4.5 4.6",67
"Spotted","female","5.5 5.4 5.6 5.3",62
"Softshell","male","9.0 9.0",17
"Spotted","female","4.5 4.9",42
"Spotted","female","5.6 5.7 5.7",59
"Spotted","male","3.1 2.9",16
"Softshell","male","9.0 9.2 9.2 9.3",22
"Spotted","female","4.8 4.9",63
"Spotted","female","5.0 5.0 4.9",36
"Spotted","male","3.4 3.1",16
"Softshell","male","9.7 9.7 9.9 9.7",17
"Softshell","male","9.7 9.7 9.5 9.6",32
"Softshell","male","10.0 10.0",38
"Spotted","female","4.0 3.9 3.9",26
"Spotted","female","5.0 4.9",84
"Spotted","male","3.7 3.8 3.8 3.6",26
"Spotted","male","4.2 4.2 4.2 4.5",36
"Softshell","male","9.0 9.3",15
"Spotted","female","4.3 4.6",29
"Softshell","female","10.4 10.4 10.4 10.4",18
"Softshell","male","8.7 8.5",5
"Spotted","female","4.8 4.7 4.7",62
"Spotted","male","4.6 4.5",48
"Spotted","female","5.6 5.9 5.8",59
"Softshell","male","8.4 8.6 8.4 8.5",12
"Spotted","male","3.5 3.5 3.4",21
"Spotted","male","3.4 3.6 3.4",28
"Softshell","female","11.0 11.1 11.0",37
"Spotted","male","3.7 3.7",24
"Spotted","male","3.0 2.9 2.9 2.9",26
"Softshell","male","9.5 9.1 9.3 9.5 9.4",15
"Spotted","male","2.8 2.7",22
"Spotted","female","5.7 5.6",78
"Softshell","male","9.4 9.1",16
"Spotted","female","4.9 4.9 4.8",45
"Spotted","female","4.3 4.4",25
"Softshell","female","10.5 10.6",25
"Softshell","female","10.4 10.2 10.2",18
"Spotted","female","4.7 4.7",59
"Spotted","female","5.2 5.2 5.1",70
"Softshell","female","9.6 9.6 9.8 9.7",20
"Softshell","female","10.4 10.3 10.2",19
"Spotted","male","3.3 3.4 3.6 3.3",26
"Softshell","male","9.3 9.3 9.5",16
"Softshell","male","9.7 9.8",19
"Spotted","female","4.9 4.8 5.0 4.8 4.9 4.7 4.9",52
"Spotted","female","3.8 3.7 4.0 3.8",18
"Softshell","male","9.5 9.4 9.7",26
"Spotted","male","1.9 1.9 2.0 2.0",17
"Spotted","female","4.5 4.5 4.6",22
"Softshell","female","9.2 9.0 9.0 8.9",12
"Spotted","male","3.2 2.9 3.0",42
"Softshell","female","10.4 10.5 10.3",23
"Softshell","male","9.4 9.4 9.4 9.4 9.5 9.6",28
"Spotted","female","4.5 4.4",70
"Softshell","female","10.0 10.2 10.3 10.2",34
"Spotted","male","3.7 3.6 3.7",36
"Softshell","male","10.0 9.9 9.9",17
"Softshell","female","10.7 10.6",23
"Softshell","male","9.2 9.3",18
"Spotted","female","4.8 4.8",70
"Spotted","male","3.0 3.2",42
"Spotted","female","3.3 3.6",20
"Spotted","male","3.5 3.5 3.5",21
"Softshell","female","11.1 11.1 11.0",30
"Spotted","female","5.7 5.8 5.8 5.7",68
"Softshell","male","10.6 10.4 10.4",36
"Softshell","male","10.0 9.8 9.8",33
"Softshell","male","8.8 8.4 8.6 8.6",16
"Spotted","female","5.4 5.5",87
"Spotted","male","3.8 3.9 3.7",27
"Spotted","male","3.7 3.5 3.6",41
"Spotted","female","4.3 4.5 4.6 4.5",43
"Softshell","female","9.9 10.0 10.2 9.7 10.0",22
"Softshell","female","11.0 10.5 10.5",20
"Softshell","female","10.5 10.4 10.4",15
"Spotted","male","3.8 4.1",31
"Spotted","female","3.7 3.7 3.7 4.0",22
"Softshell","male","9.6 9.6 9.5",16
"Spotted","female","4.5 4.8 4.8",30
"Spotted","male","3.2 3.5",19
"Softshell","female","10.3 10.4",26
"Softshell","female","10.6 10.3",19
"Spotted","female","5.6 5.4",78
"Softshell","female","10.4 10.5 10.4",13
"Softshell","male","8.6 8.8 8.6",16
"Softshell","female","10.5 10.6 10.3",33
"Softshell","female","10.1 10.4 10.1",26
"Softshell","female","11.4 11.2 11.3",11
"Spotted","female","5.7 5.8",87
"Spotted","male","3.5 3.6 3.5",21
"Softshell","female","9.2 9.4",10
"Softshell","female","10.5 10.7",31
"Spotted","female","5.6 5.3 5.5",29
"Softshell","female","10.2 10.4 10.2",25
"Spotted","male","4.4 4.0",32
"Spotted","male","4.2 3.9 4.1 4.1",36
"Softshell","female","11.1 10.9 11.0",28
"Spotted","male","2.3 2.7",21
"Spotted","female","5.4 5.2 5.2",59
"Spotted","male","3.3 3.5 3.3 3.1 3.3",24
"Spotted","female","4.5 4.3",36
"Spotted","female","5.0 4.8 5.2 5.0",38
"Softshell","male","8.5 8.7",20
"Spotted","male","3.1 3.2",22
"Spotted","female","5.6 5.5 5.4 5.3",76
"Spotted","female","4.7 5.0",93
"Softshell","female","9.9 9.5 9.6 9.7 9.6 9.5 9.4",14
"Softshell","female","9.5 9.7 9.6 9.7",11
"Spotted","male","3.5 3.4 3.4 3.3",27
"Spotted","male","2.8 2.9",7
"Softshell","female","10.3 10.3 10.6 10.4",16
"Softshell","male","8.8 8.8 8.8",13
"Softshell","female","10.2 10.1 10.5 10.5 10.3",18
"Softshell","male","9.1 9.3",17
"Spotted","male","3.9 4.0 4.1",37
"Spotted","male","3.9 3.8 3.7 3.5",16
"Spotted","female","4.5 4.5 4.7",70
"Softshell","male","9.5 9.2",22
"Softshell","male","9.4 9.3 9.4",38
"Softshell","female","10.4 10.7 10.5 10.7",21
"Spotted","female","5.7 5.6",98
"Softshell","male","9.5 9.5",20
"Spotted","female","5.5 5.4",71
"Softshell","female","10.7 10.6",22
"Spotted","male","3.1 3.1",13
"Spotted","female","5.2 4.9 5.2 5.3 5.2 4.9",63
"Spotted","male","3.6 3.3",16
"Softshell","female","10.8 11.3 11.0",28
"Softshell","male","9.3 9.2 9.3",22
"Softshell","male","9.3 9.3",18
"Softshell","female","10.7 10.4 10.3",12
"Softshell","male","10.0 10.0",19
"Spotted","female","5.6 5.5 5.4",79
"Softshell","male","9.3 9.0",14
"Softshell","male","9.7 9.6",22
"Spotted","male","3.6 3.6 3.6 3.6",28
"Spotted","female","4.3 4.3 4.4",53
"Spotted","female","4.7 4.8",46
"Spotted","female","3.3 3.3 3.2 3.4 3.4",10
"Spotted","female","4.1 4.0 3.8 4.0 3.8 3.7",49
"Spotted","female","3.7 4.0",34
"Softshell","male","8.7 9.0 8.9",4
"Softshell","female","10.2 10.3 10.2 10.3",17
"Spotted","female","4.8 4.7 4.9 4.8",18
"Softshell","female","10.9 10.9",26
"Spotted","male","4.0 3.9",21
"Spotted","female","5.0 5.1 5.2",76
"Spotted","female","4.6 4.5 4.4",53
"Spotted","male","4.5 4.5 4.5",43
"Softshell","female","10.3 10.4 10.5",13
"Softshell","female","10.4 10.6",19
"Spotted","male","4.3 4.2 4.2 4.4",48
"Spotted","male","3.9 3.9",31
"Softshell","male","9.7 9.7",10
"Softshell","female","10.1 10.2",25
"Spotted","female","4.5 4.3 4.1",69
"Softshell","male","8.6 8.6",10
"Softshell","female","11.2 11.2 11.3 11.5 11.4 11.5",20
"Softshell","female","10.2 10.4 10.2",17
"Spotted","female","5.3 5.3",62
"Spotted","female","4.7 4.7 4.6 4.7 4.4 4.7",30
"Softshell","male","9.5 9.3 9.4",16
"Spotted","male","2.5 2.5 2.4",13
"Softshell","female","10.4 10.5 10.4",32
"Spotted","female","5.1 5.3 5.0",52
"Spotted","female","5.1 5.0 5.1 5.2",58
"Softshell","female","9.9 9.8 9.7 9.8",13
"Softshell","female","10.0 10.2 9.9",14
"Softshell","male","9.3 9.5",26
"Spotted","male","3.6 3.4 3.7",21
"Spotted","male","4.8 5.0 5.0",57
"Spotted","male","3.2 3.1",17
"Spotted","male","2.9 2.6",24
"Spotted","female","5.3 5.0",85
"Softshell","female","9.9 10.1",21
"Softshell","female","10.3 10.2 10.3 10.5 10.4",24
"Spotted","female","4.0 4.1 4.0",34
"Spotted","female","4.8 4.7",69
"Softshell","female","10.6 10.7 10.6",28
"Softshell","male","8.9 9.0 9.1",14
"Softshell","male","9.7 9.4",15
"Softshell","female","10.4 10.0 10.4",9
"Softshell","female","10.9 10.8",25
"Softshell","male","9.4 9.3 9.3 9.4",37
"Softshell","male","9.1 9.2",12
"Spotted","female","4.5 4.4",50
"Softshell","female","9.4 9.3 9.3",28
"Spotted","female","4.6 4.7 4.8 4.9 4.8",44
"Spotted","female","5.8 6.1",62
"Softshell","male","9.2 9.0 9.4",18
"Softshell","female","10.6 10.9 10.7",14
"Softshell","female","9.9 9.8 10.2 9.9",6
"Softshell","female","10.7 10.7 10.6 10.9 10.9 10.9",34
"Spotted","female","5.5 5.5 5.5 5.3",54
"Spotted","female","5.0 4.8 4.9 4.7",43
"Spotted","female","4.9 4.9 4.7",74
"Softshell","female","10.8 10.9",24
"Softshell","female","10.4 10.5",23
"Spotted","female","5.0 5.0",54
"Spotted","male","2.8 3.2 3.0 3.1",16
"Softshell","female","10.9 10.9 10.8",26
"Spotted","female","4.5 4.7 4.7 4.6",66
"Softshell","male","9.0 9.1 8.8 9.0",14
"Spotted","female","4.2 4.3",77
"Spotted","female","5.1 5.1 5.1 5.3",51
"Spotted","female","4.6 4.5 4.4 4.3",60
"Softshell","female","10.8 10.9",28
"Softshell","female","9.9 10.1 10.1",17
"Spotted","female","5.7 5.8 5.5",80
"Spotted","female","4.6 4.4 4.3",47
"Spotted","female","5.5 5.5 5.5",73
"Softshell","female","10.1 10.3 10.6",12
"Spotted","female","5.0 5.1 4.9",53
"Softshell","male","8.5 8.5 8.7",11
"Softshell","male","9.6 9.6 9.9 9.7",23
"Spotted","female","4.1 4.1 3.8",28
"Softshell","female","9.5 9.7",23
"Spotted","female","5.0 4.7 4.9",45
"Spotted","male","3.6 3.5",26
"Spotted","female","5.1 5.2",72
"Spotted","male","2.7 2.6 2.8 2.4 2.7",8
"Softshell","female","10.5 10.5 10.6",22
"Softshell","female","9.6 9.9",10
"Softshell","female","11.0 10.9",16
"Softshell","female","9.5 9.7 9.5 9.3",14
"Softshell","female","9.5 9.3 9.2 9.3",18
"Softshell","male","10.2 10.1",12
"Spotted","male","3.1 3.2",24
"Softshell","male","9.8 10.1 9.8 9.7",15
"Spotted","female","4.8 4.9 4.9 4.7",26
"Spotted","female","5.6 5.5 5.4",53
"Softshell","female","10.8 11.0",33
"Softshell","female","10.8 11.1 11.0",19
"Spotted","female","4.2 3.9 4.2 4.1",54
"Spotted","male","2.7 2.7",16
"Spotted","female","5.5 5.4 5.4 5.6 5.7 5.7 5.4 5.7",85
"Softshell","female","10.0 9.9 10.1",12
"Softshell","female","10.9 10.8 10.6",15
"Softshell","male","8.8 8.5",16
"Spotted","female","5.2 5.0 5.2 5.1",71
"Spotted","female","4.8 4.6 4.7",72
"Spotted","male","3.4 3.1",27
"Softshell","male","9.1 8.9 8.9",21
"Softshell","male","9.8 9.9 9.9",24
"Spotted","female","5.3 5.2 5.0",62
"Softshell","female","10.6 10.7 10.3 10.5 10.6",20
"Softshell","female","9.8 9.7",17
"Spotted","male","4.1 4.2 3.9",47
"Spotted","male","2.7 2.8",21
"Softshell","female","11.0 10.9",23
"Softshell","male","9.1 9.0 9.4 9.2",16
"Softshell","male","9.8 9.7",19
"Softshell","female","10.6 10.7 10.5",19
"Spotted","female","4.6 4.5 4.6 4.6 4.5",38
"Spotted","male","4.3 4.3",34
"Spotted","female","5.0 5.1 4.9 4.9",52
"Softshell","male","8.6 8.5",8
"Softshell","male","10.0 10.0 9.8",26
"Softshell","female","11.3 11.5 11.5 11.4 11.4",27
"Spotted","male","2.8 2.8",18
"Spotted","female","4.9 5.2 5.0",68
"Spotted","female","4.6 4.6",28
"Spotted","female","5.2 5.5",51
"Spotted","female","5.2 5.0 5.2 5.0",39
"Softshell","female","10.2 9.9",24
"Softshell","male","10.0 10.0 10.0 9.9 9.9 10.0",23
"Softshell","female","9.9 9.9",12
"Softshell","female","10.9 11.0 11.0",37
"Softshell","female","11.1 11.3 11.2 11.0",15
"Spotted","male","3.8 3.9 3.9 4.0",51
"Spotted","male","4.2 4.1",46
"Spotted","male","3.3 3.5",41
"Spotted","female","5.9 6.2 6.1",60
"Spotted","female","4.3 4.2",19
"Softshell","female","10.6 10.4 10.4 10.2",24
"Spotted","female","4.0 4.1",29
"Softshell","female","11.3 11.0 11.0",28
"Softshell","male","9.1 8.9",15
"Spotted","female","5.9 5.9",68
"Spotted","male","3.6 3.7",36
"Softshell","female","10.5 10.5",21
"Softshell","male","9.7 9.8 9.6",24
"Spotted","female","5.6 5.4",69
"Softshell","male","8.8 8.8 8.8 9.0",24
"Softshell","female","10.1 10.2 10.3 10.5 10.0",23
"Softshell","male","9.3 9.4 9.5 9.3",25
"Softshell","female","10.7 10.6 10.8",16
"Spotted","male","3.9 4.1 3.8",37
"Softshell","male","9.6 9.4 9.5",22
"Softshell","male","9.6 10.0",20
"Softshell","female","10.0 10.0",24
"Spotted","female","5.7 5.7 5.7 5.7",125
"Softshell","female","9.9 9.8",17
"Spotted","male","3.6 3.6 3.2",32
"Spotted","female","3.9 4.1 4.1 4.0",18
"Softshell","female","10.6 10.6 10.6",17
"Spotted","male","2.8 3.1",17
"Spotted","female","5.0 5.1 5.0",36
"Spotted","female","5.2 5.2 5.2",33
"Spotted","female","5.6 5.6 5.7",70
"Spotted","male","3.1 2.8 2.9",21
"Spotted","male","3.5 3.6",27
"Spotted","female","5.5 5.4",35
"Spotted","female","4.3 4.5 4.4 4.3",41
"Spotted","male","3.3 3.7 3.3",39
"Spotted","female","4.4 4.7",44
"Spotted","female","4.9 4.8",58
"Spotted","female","5.2 4.9",67
"Softshell","female","10.3 10.0 10.2 10.2",16
"Spotted","male","3.1 3.4",29
"Softshell","female","10.6 10.4 10.4 10.2 10.4",22
"Spotted","male","3.3 3.3",16
"Softshell","female","11.2 11.2",24
"Softshell","female","11.4 11.3",29
"Spotted","female","4.4 4.3",38
"Spotted","female","5.4 5.3 5.4 5.4 5.5",54
"Softshell","male","9.1 9.1 9.0",16
"Spotted","female","5.1 5.0 4.8",62
"Spotted","female","5.9 5.5",47
"Softshell","female","10.9 10.9 10.8",18
"Softshell","female","10.4 10.4 10.4",15
"Spotted","male","3.1 3.0",13
"Spotted","female","5.1 5.4 5.1 5.3 5.3",61
"Softshell","female","9.5 9.5 9.6",24
"Spotted","female","4.5 4.7 4.6",29
"Softshell","female","10.7 10.8 10.7 10.8",42
"Spotted","female","4.7 5.3 5.1 5.1 5.2",52
"Spotted","female","4.8 4.8 4.8",66
"Spotted","male","2.6 2.8",11
"Softshell","female","10.7 10.8 10.7",24
"Softshell","female","10.4 10.7 10.4 10.7 10.5",14
"Spotted","male","3.8 3.8",32
"Spotted","female","4.3 4.4 4.4",42
"Spotted","female","4.7 4.7",45
"Softshell","male","9.2 9.1 9.1",11
"Spotted","female","4.0 4.0 4.2",43
"Spotted","female","4.8 5.2 5.2",40
"Softshell","female","11.3 11.0 11.1",30
"Softshell","female","10.7 10.6",14
"Spotted","male","3.6 3.5",33
"Softshell","male","8.9 9.1 9.2 9.2 9.0",24
"Softshell","male","8.9 9.0",15
"Softshell","female","10.3 10.1 10.3",18
"Spotted","female","4.8 5.2 4.9",59
"Spotted","male","3.1 3.4",21
"Softshell","female","9.4 9.5",16
"Softshell","female","10.1 10.5 10.4 10.3",23
"Spotted","male","4.3 4.0",51
"Spotted","female","5.2 5.2",74
"Spotted","female","5.5 5.4 5.3 5.1 5.2",35
"Softshell","male","9.4 9.4",16
"Softshell","female","10.3 10.1 9.9",6
"Spotted","female","5.7 5.7 5.7",61
"Softshell","female","10.8 10.7",21
"Softshell","male","9.2 9.3",13
"Softshell","female","10.3 10.3 10.1 10.3 10.5",16
"Spotted","female","3.9 3.8",42
"Spotted","female","5.0 4.8",84
"Spotted","male","4.2 4.1 4.1",27
"Softshell","male","9.7 9.5",24
"Softshell","female","10.5 10.5",22
"Spotted","female","5.8 5.9",53
"Spotted","male","3.0 3.1",8
"Softshell","male","9.5 9.6 9.3 9.2 9.1",28
"Spotted","male","3.0 2.9",28
"Spotted","male","3.7 3.6 3.7",32
"Softshell","male","9.7 9.6",26
"Spotted","male","3.6 3.7",31
"Spotted","female","5.6 5.7 5.5",65
"Softshell","male","8.6 8.4 8.5",7
"Softshell","female","10.4 10.4 10.3",31
"Spotted","male","3.5 3.6 3.4 3.7 3.5",29
"Spotted","female","3.8 3.6 3.8",15
"Softshell","male","9.8 9.8",19
"Spotted","male","3.7 3.9",32
"Spotted","female","5.7 5.8",71
"Spotted","male","4.3 4.5",37
"Softshell","female","10.2 10.1 10.2 10.3 10.2",16
"Spotted","female","5.0 5.0",65
"Softshell","female","11.0 11.0",26
"Softshell","female","10.5 10.8 10.6",17
"Softshell","female","11.1 11.2 11.1",24
"Spotted","male","3.3 3.3 3.2",26
"Softshell","male","8.6 8.5 8.7 8.9 8.6",24
"Softshell","female","9.7 9.5",12
"Spotted","male","3.9 3.8 3.8",33
"Spotted","male","3.6 3.7 3.7",32
"Spotted","male","3.2 3.5",28
"Softshell","male","9.0 8.8 8.9 8.8",20
"Spotted","male","3.4 3.2 3.1",34
"Softshell","male","9.2 9.4 9.2 9.2",12
"Softshell","female","10.9 11.0 11.0 11.0",23
"Spotted","male","4.2 3.9 4.0 4.1",41
"Spotted","female","4.6 4.9",43
"Softshell","male","8.3 8.0 8.3 8.1",5
"Softshell","female","11.0 11.2 11.1 11.0 11.0",19
"Softshell","female","10.5 10.6 10.7 10.8",31
"Softshell","female","11.0 11.0 11.1",22
"Spotted","male","3.2 3.3",27
"Spotted","male","3.3 3.4",17
"Spotted","female","4.8 5.3 5.1 5.2",37
"Spotted","female","3.6 3.8",13
"Spotted","female","4.6 4.4 4.6",66
"Spotted","female","5.2 5.3",65
"Spotted","female","5.8 5.9 6.0",77
"Spotted","male","3.5 3.5",41
"Spotted","male","3.6 3.5",32
"Spotted","female","4.1 4.1 4.4",27
"Softshell","female","11.1 10.8",19
"Spotted","female","4.1 3.8 4.0",29
"Softshell","female","10.9 10.9 11.1 11.0",34
"Softshell","male","9.3 9.2 9.3 9.2",14
"Softshell","male","9.2 9.3",22
"Softshell","female","10.6 10.2",32
"Spotted","male","4.2 4.2 4.3",31
"Softshell","female","11.3 11.4 11.1 11.3 11.2",38
"Softshell","female","10.2 10.1",14
"Spotted","female","5.0 4.8",53
"Spotted","female","5.2 5.4",65
"Spotted","male","2.8 2.8 2.6 2.7",22
"Spotted","female","4.4 4.4 4.5",28
"Spotted","male","3.2 3.3 2.9 3.1 3.0 3.1 3.1",47
"Softshell","female","10.6 10.2 10.4",23
"Spotted","female","5.8 5.7",74
"Spotted","female","4.9 4.7 4.6 4.9",46
"Spotted","male","3.5 3.8",33
